WKT,name,description
"LINESTRING (11.828009 58.063416 0.0, 11.827965 58.063531 0.0, 11.827793 58.063633 0.0, 11.827659 58.063724 0.0, 11.827648 58.063823 0.0, 11.827949 58.063985 0.0, 11.827804 58.064059 0.0, 11.827804 58.064425 0.0, 11.82768 58.064507 0.0)",150 m,
"LINESTRING (11.842009 58.052271 0.0, 11.841888 58.052505 0.0, 11.841945 58.052533 0.0, 11.844503 58.052647 0.0, 11.844922 58.052726 0.0, 11.845576 58.053016 0.0, 11.846027 58.053113 0.0, 11.847314 58.053283 0.0, 11.848731 58.053436 0.0, 11.849567 58.053493 0.0, 11.850941 58.053743 0.0, 11.851155 58.053765 0.0, 11.85214 58.053704 0.0, 11.851968 58.05355 0.0, 11.851968 58.053344 0.0, 11.851863 58.053314 0.0)",710 m,
"LINESTRING (11.851863 58.053314 0.0, 11.851968 58.053344 0.0, 11.851968 58.05355 0.0, 11.85214 58.053704 0.0, 11.85167 58.053812 0.0, 11.850972 58.054235 0.0, 11.850854 58.054385 0.0, 11.850919 58.054595 0.0, 11.851122 58.0547 0.0, 11.851412 58.054763 0.0, 11.851385 58.054834 0.0, 11.851139 58.054973 0.0, 11.850731 58.055058 0.0, 11.850666 58.055129 0.0, 11.85137 58.056224 0.0, 11.851536 58.056483 0.0)",450 m,
"LINESTRING (11.851536 58.056483 0.0, 11.851759 58.056822 0.0, 11.850219 58.057066 0.0, 11.848878 58.057043 0.0, 11.84824 58.057003 0.0, 11.847124 58.057052 0.0, 11.846314 58.057037 0.0, 11.845708 58.057029 0.0, 11.843235 58.05704 0.0, 11.842162 58.057049 0.0, 11.841905 58.057059 0.0)",630 m,
"LINESTRING (11.851093 58.058406 0.0, 11.851353 58.058397 0.0, 11.852635 58.058281 0.0, 11.85241 58.057812 0.0, 11.851759 58.056822 0.0, 11.851536 58.056483 0.0)",310 m,
"LINESTRING (11.82621 58.04983 0.0, 11.825974 58.04979 0.0, 11.825818 58.049736 0.0, 11.825633 58.049556 0.0, 11.825552 58.049396 0.0, 11.82551 58.048812 0.0, 11.825461 58.048656 0.0, 11.825366 58.048517 0.0, 11.825115 58.048568 0.0, 11.824962 58.048644 0.0, 11.824777 58.048778 0.0, 11.824568 58.048862 0.0, 11.824158 58.048933 0.0, 11.82378 58.048876 0.0, 11.823554 58.048817 0.0, 11.82316 58.048618 0.0, 11.822817 58.0485 0.0, 11.822693 58.048473 0.0, 11.822613 58.048422 0.0, 11.822358 58.04835 0.0)",390 m,
"LINESTRING (11.822358 58.04835 0.0, 11.822613 58.048422 0.0, 11.822782 58.048438 0.0, 11.822884 58.048313 0.0, 11.823144 58.048191 0.0, 11.823652 58.048118 0.0, 11.823924 58.047965 0.0, 11.824195 58.047985 0.0, 11.82439 58.047874 0.0, 11.824489 58.047802 0.0, 11.824588 58.047774 0.0, 11.82456 58.047723 0.0, 11.824504 58.04758 0.0, 11.824519 58.047473 0.0, 11.824608 58.047335 0.0, 11.824731 58.047212 0.0, 11.824825 58.047071 0.0, 11.824876 58.046925 0.0, 11.824954 58.046938 0.0, 11.825074 58.04699 0.0, 11.82519 58.047016 0.0, 11.825758 58.047054 0.0, 11.825908 58.047048 0.0, 11.826 58.047023 0.0, 11.826048 58.046871 0.0, 11.826128 58.046712 0.0, 11.826198 58.046556 0.0)",390 m,
"LINESTRING (11.82621 58.04983 0.0, 11.82615 58.049706 0.0, 11.825984 58.04955 0.0, 11.825919 58.049416 0.0, 11.825962 58.049254 0.0, 11.826048 58.049135 0.0, 11.826681 58.048809 0.0, 11.826852 58.048687 0.0, 11.826858 58.048641 0.0, 11.826665 58.048389 0.0, 11.825924 58.047909 0.0, 11.825764 58.047696 0.0, 11.825769 58.04756 0.0, 11.825984 58.047137 0.0, 11.826 58.047023 0.0, 11.826048 58.046871 0.0, 11.826128 58.046712 0.0, 11.826198 58.046556 0.0)",420 m,
"LINESTRING (11.82977 58.055955 0.0, 11.829867 58.055981 0.0, 11.831117 58.055743 0.0, 11.83131 58.055859 0.0, 11.831364 58.056001 0.0)",120 m,
"LINESTRING (11.847441 58.058901 0.0, 11.849824 58.058428 0.0, 11.850248 58.05838 0.0, 11.850666 58.058417 0.0, 11.851093 58.058406 0.0)",230 m,
"LINESTRING (11.851093 58.058406 0.0, 11.851385 58.058396 0.0, 11.852635 58.058281 0.0, 11.854336 58.05812 0.0, 11.857152 58.058 0.0, 11.857297 58.057992 0.0, 11.857678 58.058015 0.0, 11.858644 58.058248 0.0, 11.859046 58.058325 0.0, 11.859302 58.058307 0.0, 11.859346 58.058302 0.0, 11.859459 58.058381 0.0, 11.859502 58.058566 0.0)",530 m,
"LINESTRING (11.851536 58.056483 0.0, 11.85137 58.056224 0.0, 11.852561 58.05601 0.0, 11.852899 58.055973 0.0, 11.853226 58.055968 0.0, 11.853682 58.056036 0.0, 11.854074 58.056186 0.0, 11.854509 58.056388 0.0, 11.854771 58.056461 0.0, 11.854991 58.056467 0.0)",270 m,
"LINESTRING (11.854991 58.056467 0.0, 11.855001 58.056605 0.0, 11.855757 58.057001 0.0, 11.855864 58.057089 0.0, 11.856449 58.057412 0.0, 11.856256 58.05752 0.0, 11.857152 58.058 0.0, 11.857297 58.057992 0.0, 11.857678 58.058015 0.0, 11.858644 58.058248 0.0, 11.859046 58.058325 0.0, 11.859302 58.058307 0.0, 11.859346 58.058302 0.0, 11.859459 58.058381 0.0, 11.859502 58.058566 0.0)",410 m,
"LINESTRING (11.854991 58.056467 0.0, 11.855178 58.056407 0.0, 11.855613 58.056185 0.0, 11.856364 58.055864 0.0, 11.857962 58.055124 0.0, 11.859507 58.054403 0.0)",360 m,
"LINESTRING (11.851863 58.053314, 11.852 58.053304, 11.852226 58.053338, 11.852601 58.053333, 11.852596 58.053267, 11.852944 58.053208, 11.85344 58.053162, 11.853711 58.053249, 11.853874 58.053225, 11.853928 58.05315, 11.85392 58.053066, 11.854019 58.053046, 11.854296 58.05313, 11.854655 58.05317, 11.855156 58.053393, 11.85526 58.053485, 11.855414 58.053563, 11.8555301 58.0536514, 11.857962 58.055124, 11.859507 58.054403)",620 m,
"LINESTRING (11.859507 58.054403 0.0, 11.862474 58.053021 0.0, 11.862956 58.052783 0.0, 11.862901 58.052517 0.0, 11.862807 58.052331 0.0, 11.862638 58.052168 0.0, 11.86275 58.052043 0.0)",360 m,
"LINESTRING (11.84201 58.052266, 11.842059 58.052094, 11.8423812 58.0520751, 11.8426355 58.0519807, 11.8433864 58.0514416, 11.8440437 58.0512141, 11.8443257 58.0510418, 11.8444064 58.0509515, 11.8446772 58.050813, 11.8448694 58.0506444, 11.8446952 58.0505114, 11.845012 58.0503593, 11.8451833 58.0503203, 11.846203 58.049964, 11.846654 58.049669, 11.848022 58.049323, 11.848346 58.049348, 11.848714 58.049411, 11.849229 58.049363)",590 m,
"LINESTRING (11.849229 58.049363 0.0, 11.849346 58.049356 0.0, 11.849336 58.049258 0.0, 11.849384 58.049126 0.0, 11.849526 58.048948 0.0, 11.849768 58.048729 0.0, 11.850095 58.048525 0.0, 11.850159 58.048445 0.0, 11.85017 58.048249 0.0, 11.850224 58.048156 0.0, 11.850352 58.048068 0.0, 11.85061 58.047968 0.0, 11.850803 58.047826 0.0, 11.851119 58.047505 0.0)",250 m,
"LINESTRING (11.849229 58.049363 0.0, 11.849346 58.049356 0.0, 11.849587 58.049367 0.0, 11.850215 58.049395 0.0, 11.851044 58.049594 0.0, 11.85158 58.04981 0.0, 11.851741 58.049844 0.0, 11.85187 58.049838 0.0, 11.852433 58.050704 0.0, 11.852621 58.050927 0.0, 11.852927 58.051089 0.0, 11.853618 58.051353 0.0, 11.853653 58.051486 0.0, 11.853285 58.051703 0.0, 11.853358 58.051849 0.0, 11.852931 58.052289 0.0, 11.852845 58.052516 0.0, 11.852926 58.053212 0.0, 11.852596 58.053267 0.0, 11.852601 58.053333 0.0, 11.852226 58.053338 0.0, 11.852 58.053304 0.0, 11.851863 58.053314 0.0)",670 m,
